iter	Passed	Remaining
0	1	195
1	3	175
2	5	192
3	7	177
4	8	168
5	10	157
6	11	154
7	13	153
8	14	151
9	15	143
10	17	140
11	18	137
12	20	135
13	21	130
14	22	126
15	23	122
16	24	118
17	25	115
18	26	112
19	27	109
20	28	106
21	29	103
22	30	100
23	30	97
24	31	95
25	32	93
26	34	92
27	34	89
28	35	88
29	36	86
30	38	85
31	39	83
32	40	82
33	41	80
34	42	79
35	43	77
36	44	75
37	44	73
38	45	71
39	46	69
40	47	68
41	47	65
42	48	64
43	49	62
44	50	61
45	51	60
46	52	59
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	45
58	64	44
59	65	43
60	66	42
61	66	41
62	67	39
63	69	38
64	70	37
65	70	36
66	71	35
67	72	34
68	73	32
69	74	31
70	75	30
71	76	29
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	84	23
78	85	22
79	87	21
80	88	20
81	89	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	108	0
