iter	Passed	Remaining
0	142	141859
1	144	71977
2	145	48447
3	147	36603
4	148	29515
5	149	24768
6	150	21351
7	151	18801
8	153	16875
9	154	15285
10	155	13997
11	156	12906
12	157	11971
13	158	11166
14	159	10469
15	160	9856
16	161	9318
17	162	8840
18	164	8476
19	165	8101
20	166	7757
21	167	7443
22	169	7187
23	170	6946
24	172	6712
25	173	6497
26	174	6278
27	175	6075
28	175	5888
29	176	5722
30	178	5571
31	179	5437
32	184	5393
33	186	5301
34	188	5189
35	189	5078
36	190	4962
37	191	4855
38	192	4750
39	194	4661
40	196	4598
41	198	4523
42	199	4440
43	200	4363
44	201	4285
45	204	4231
46	205	4157
47	206	4090
48	207	4021
49	208	3954
50	208	3886
51	210	3846
52	212	3800
53	214	3753
54	217	3729
55	218	3679
56	219	3627
57	220	3576
58	221	3526
59	221	3476
60	222	3427
61	226	3423
62	234	3485
63	236	3463
64	239	3441
65	242	3428
66	244	3403
67	246	3375
68	247	3342
69	248	3305
70	249	3268
71	250	3230
72	251	3193
73	252	3155
74	254	3141
75	256	3121
76	258	3096
77	259	3066
78	260	3035
79	261	3004
80	262	2974
81	263	2945
82	263	2911
83	264	2881
84	265	2853
85	265	2826
86	268	2814
87	270	2799
88	271	2781
89	273	2762
90	274	2739
91	275	2716
92	276	2693
93	276	2669
94	277	2646
95	278	2624
96	279	2601
97	280	2579
98	281	2557
99	282	2540
100	284	2534
101	287	2533
102	289	2520
103	290	2503
104	291	2486
105	292	2466
106	293	2447
107	294	2429
108	294	2410
109	295	2394
110	297	2385
111	299	2372
112	300	2357
113	301	2341
114	302	2327
115	303	2313
116	304	2296
117	305	2282
118	306	2268
119	307	2254
120	308	2240
121	309	2223
122	310	2210
123	310	2195
124	312	2184
125	313	2173
126	314	2161
127	315	2149
128	316	2140
129	318	2129
130	319	2118
131	320	2105
132	321	2095
133	322	2084
134	326	2090
135	329	2090
136	330	2081
137	331	2070
138	332	2060
139	333	2049
140	334	2038
141	335	2026
142	336	2014
143	336	2002
144	337	1990
145	338	1979
146	339	1968
147	339	1956
148	340	1946
149	341	1935
150	343	1931
151	345	1925
152	346	1917
153	347	1909
154	348	1899
155	349	1889
156	350	1879
157	352	1876
158	353	1869
159	354	1859
160	354	1848
161	355	1838
162	356	1828
163	358	1827
164	359	1821
165	361	1814
166	362	1806
167	363	1798
168	364	1790
169	365	1783
170	366	1775
171	367	1767
172	368	1760
173	369	1752
174	370	1745
175	371	1741
176	373	1737
177	375	1734
178	377	1729
179	378	1722
180	379	1715
181	380	1708
182	381	1701
183	381	1693
184	383	1688
185	384	1680
186	384	1673
187	386	1667
188	388	1665
189	389	1661
190	390	1655
191	391	1649
192	392	1642
193	393	1635
194	394	1628
195	395	1621
196	396	1614
197	396	1607
198	397	1600
199	398	1593
200	399	1586
201	399	1579
202	400	1572
203	401	1566
204	402	1560
205	403	1556
206	405	1551
207	407	1550
208	408	1544
209	409	1538
210	409	1532
211	410	1526
212	411	1520
213	412	1514
214	413	1508
215	413	1502
216	414	1496
217	415	1489
218	416	1484
219	418	1484
220	420	1483
221	421	1477
222	422	1472
223	423	1466
224	424	1461
225	425	1455
226	425	1450
227	426	1444
228	427	1439
229	428	1433
230	428	1427
231	429	1422
232	430	1417
233	434	1421
234	436	1419
235	437	1415
236	437	1409
237	438	1404
238	439	1399
239	440	1394
240	441	1389
241	442	1384
242	442	1379
243	443	1374
244	444	1369
245	445	1364
246	446	1359
247	449	1362
248	450	1358
249	451	1354
250	452	1350
251	453	1345
252	454	1341
253	454	1336
254	455	1331
255	456	1326
256	457	1322
257	458	1317
258	458	1312
259	459	1308
260	460	1304
261	462	1302
262	463	1299
263	465	1297
264	466	1293
265	467	1289
266	468	1285
267	469	1282
268	470	1277
269	471	1273
270	471	1269
271	472	1264
272	473	1259
273	474	1255
274	474	1251
275	475	1247
276	478	1247
277	479	1245
278	480	1242
279	481	1239
280	482	1235
281	483	1231
282	484	1227
283	485	1223
284	486	1219
285	486	1215
286	487	1211
287	488	1208
288	489	1204
289	490	1200
290	491	1196
291	492	1193
292	493	1191
293	494	1188
294	495	1184
295	496	1180
296	497	1177
297	498	1173
298	498	1169
299	499	1165
300	500	1162
301	501	1158
302	502	1154
303	502	1151
304	503	1148
305	504	1144
306	505	1141
307	506	1138
308	509	1139
309	511	1137
310	512	1134
311	512	1131
312	513	1127
313	514	1124
314	515	1120
315	516	1117
316	518	1116
317	518	1112
318	519	1109
319	520	1106
320	522	1106
321	524	1104
322	525	1102
323	526	1099
324	527	1096
325	528	1093
326	529	1090
327	530	1087
328	531	1083
329	532	1080
330	533	1077
331	533	1074
332	534	1070
333	535	1067
334	536	1064
335	538	1064
336	540	1062
